Activity,#Videos,Acc(%),Edit(%),F1@10(%),F1@25(%),F1@50(%)
mopping,40,97.39,100.00,100.00,100.00,100.00
pick_give,40,96.43,100.00,100.00,100.00,100.00
pick_place,40,92.45,99.00,98.99,98.99,97.49
pick_pour,40,91.60,98.93,98.93,98.93,95.36
OVERALL,160,94.47,99.48,99.34,99.34,97.63
