Activity,#Videos,Acc(%),Edit(%),F1@10(%),F1@25(%),F1@50(%)
mopping,40,93.43,100.00,100.00,97.50,97.50
pick_give,40,92.31,100.00,100.00,100.00,98.75
pick_place,40,88.96,95.75,97.45,97.45,89.29
pick_pour,40,87.09,98.93,98.21,97.14,87.50
OVERALL,160,90.45,98.67,98.68,97.88,91.93
