Activity,#Videos,Acc(%),Edit(%),F1@10(%),F1@25(%),F1@50(%)
mopping,40,97.33,100.00,100.00,100.00,100.00
pick_give,40,96.15,99.50,99.69,99.69,99.69
pick_place,40,92.41,99.00,98.99,98.99,96.48
pick_pour,40,91.72,98.57,98.75,98.75,96.60
OVERALL,160,94.40,99.27,99.21,99.21,97.76
