Activity,#Videos,Acc(%),Edit(%),F1@10(%),F1@25(%),F1@50(%)
mopping,40,96.65,99.00,99.17,99.17,98.35
pick_give,40,94.92,98.33,98.77,98.77,98.15
pick_place,40,91.98,99.00,98.99,98.99,93.47
pick_pour,40,89.25,97.57,97.88,97.88,91.87
OVERALL,160,93.20,98.48,98.56,98.56,94.64
