Activity,#Videos,Acc(%),Edit(%),F1@10(%),F1@25(%),F1@50(%),BoundaryErr(f)
mopping,2,94.29,100.00,100.00,100.00,100.00,1.00
pick_give,2,95.71,100.00,100.00,100.00,100.00,1.00
pick_place,1,94.12,100.00,100.00,100.00,100.00,0.75
pick_pour,1,94.29,100.00,100.00,100.00,100.00,0.67
OVERALL,6,94.73,100.00,100.00,100.00,100.00,0.85
